Time,FPS,Chunks Loaded,Chunks Loading,Accumulated Time
0.052232284,19.145247,0,2,0.052232284
0.046598755,21.459803,2,2,0.09883104
0.041965816,23.828918,5,1,0.14079686
0.04208635,23.760674,6,2,0.1828832
0.046261724,21.616142,8,2,0.22914493
0.045998987,21.739609,10,2,0.27514392
0.04523528,22.106638,12,2,0.3203792
0.03964417,25.22439,15,1,0.36002338
0.047766812,20.935038,16,2,0.40779018
0.066553175,15.0255785,18,2,0.47434336
0.079950206,12.507786,20,2,0.5542936
0.047757763,20.939003,22,2,0.6020513
0.050717007,19.717253,24,2,0.6527683
0.04481801,22.312458,27,1,0.6975863
0.058455423,17.107052,28,2,0.7560417
0.07698412,12.989691,30,2,0.8330258
0.05786373,17.281982,32,2,0.8908895
0.08993653,11.118952,34,2,0.9808261
0.045870934,21.800299,36,2,1.026697
0.04174148,23.956985,39,1,1.0684385
0.051214866,19.525581,40,2,1.1196533
0.068624355,14.572086,42,2,1.1882777
0.08811462,11.348855,43,3,1.2763923
0.14216158,7.0342493,44,4,1.418554
0.15395772,6.49529,45,5,1.5725117
0.12684324,7.8837466,49,3,1.6993549
0.03962705,25.235287,52,2,1.738982
0.044853397,22.294855,54,2,1.7838354
0.029094214,34.371094,56,2,1.8129296
0.06827466,14.646723,57,3,1.8812042
0.044507124,22.468313,57,5,1.9257114
0.06797415,14.711474,58,6,1.9936855
0.08655012,11.553999,58,8,2.0802355
0.3490667,2.864782,62,6,2.4293022
0.033701487,29.672281,68,2,2.4630036
0.024860239,40.224876,71,1,2.4878638
0.055214245,18.111267,72,2,2.543078
0.03996555,25.02155,73,3,2.5830436
0.05490451,18.21344,73,5,2.637948
0.1258305,7.9471984,74,6,2.7637784
0.10556459,9.472874,75,7,2.869343
0.095619455,10.458123,79,5,2.9649625
0.11828917,8.453859,86,0,3.0832517
0.016358431,61.130554,86,2,3.09961
0.056173056,17.802128,87,3,3.1557832
0.03187078,31.376703,88,4,3.187654
0.088188775,11.339312,88,6,3.275843
0.1388581,7.2015967,88,8,3.414701
0.04837209,20.673079,89,9,3.463073
0.298145,3.3540728,92,8,3.761218
0.032460332,30.806831,100,2,3.7936783
0.060924347,16.4138,102,2,3.8546026
0.053481966,18.697891,104,2,3.9080846
0.035910096,27.847322,104,4,3.9439948
0.11258037,8.882544,104,6,4.0565753
0.12718672,7.862456,105,7,4.183762
0.041141983,24.306072,106,8,4.224904
0.16186397,6.178027,110,6,4.386768
0.05523675,18.10389,114,4,4.4420047
0.038767204,25.795,116,4,4.480772
0.082498826,12.121385,117,5,4.563271
0.11369441,8.795507,117,7,4.676965
0.11917077,8.391319,120,6,4.796136
0.15786733,6.334433,124,4,4.9540033
0.030820634,32.445793,124,6,4.984824
0.15929228,6.277768,131,1,5.1441164
0.038274143,26.1273,131,3,5.1823907
0.03508361,28.50334,134,2,5.2174745
0.07370591,13.567433,135,3,5.2911806
0.068659104,14.564712,135,5,5.35984
0.07876296,12.696323,135,7,5.438603
0.15811753,6.324409,135,9,5.5967207
0.13915698,7.186129,144,2,5.7358775
0.03689423,27.10451,145,3,5.772772
0.02846193,35.13465,147,3,5.801234
0.027701095,36.099655,150,2,5.8289347
0.061434012,16.277628,150,4,5.8903685
0.06935879,14.417784,150,6,5.9597273
0.042977512,23.267982,153,5,6.0027046
0.10921068,9.156614,154,6,6.111915
0.08321975,12.016377,160,2,6.1951346
0.020993982,47.632698,162,2,6.216129
0.02485838,40.227886,164,2,6.2409873
0.055503275,18.016954,164,4,6.2964907
0.04271591,23.41048,167,3,6.3392067
0.05288778,18.907959,169,3,6.3920946
0.014101895,70.91245,172,2,6.4061966
0.015531328,64.385994,175,1,6.421728
0.023557894,42.44862,176,2,6.445286
0.0340011,29.410814,178,2,6.4792867
0.040020905,24.98694,181,1,6.5193076
0.020061787,49.846004,182,2,6.5393696
0.013276479,75.321175,184,2,6.552646
0.023883544,41.869835,186,2,6.5765295
0.026091196,38.327106,187,3,6.6026206
0.020398967,49.02209,190,2,6.6230197
0.015281371,65.439156,192,2,6.638301
0.01563542,63.95735,195,1,6.6539364
0.015803272,63.278034,197,1,6.6697397
0.016501583,60.600246,198,1,6.686241
0.015350673,65.14372,199,0,6.701592
0.016256,61.515747,199,0,6.717848
0.015403773,64.91916,199,0,6.7332516
0.015988264,62.54587,199,0,6.74924
0.015996935,62.51198,199,0,6.765237
0.016124912,62.015842,199,0,6.7813616
0.016508602,60.574482,199,0,6.79787
0.01662585,60.147305,199,0,6.814496
0.016178776,61.809376,199,0,6.8306746
0.015094823,66.24788,199,0,6.8457694
0.016735384,59.75363,199,0,6.862505
0.015716923,63.625687,199,0,6.878222
0.015602352,64.0929,199,0,6.8938246
0.015908666,62.85882,199,0,6.9097333
0.015906276,62.868263,199,0,6.9256396
0.015883707,62.9576,199,0,6.9415236
0.015713125,63.64106,199,0,6.957237
0.016334897,61.218628,199,0,6.973572
0.016060032,62.266376,199,0,6.9896317
0.015911205,62.848793,199,0,7.0055428
0.01606745,62.23763,199,0,7.0216103
0.015956733,62.669468,199,0,7.037567
0.016073411,62.214542,199,0,7.0536404
0.016746374,59.71442,199,0,7.070387
0.015726248,63.587963,199,0,7.086113
0.015700873,63.690727,199,0,7.101814
0.015759071,63.455513,199,0,7.117573
0.016001537,62.493996,199,0,7.1335745
0.015925813,62.791138,199,0,7.1495004
0.016002353,62.490807,199,0,7.1655025
0.016099805,62.112553,199,0,7.1816025
0.016301215,61.345123,199,0,7.1979036
0.016718797,59.812912,199,0,7.2146225
0.015950361,62.6945,199,0,7.2305727
0.015696583,63.708134,199,0,7.246269
0.015462154,64.67404,199,0,7.261731
0.016471794,60.709843,199,0,7.278203
0.015974874,62.59831,199,0,7.294178
0.015484406,64.5811,199,0,7.3096623
0.01571569,63.630672,199,0,7.325378
0.015935387,62.753414,199,0,7.3413134
0.016338583,61.204815,199,0,7.3576517
0.015823876,63.195637,199,0,7.3734756
0.015391875,64.969345,199,0,7.3888674
0.016384348,61.033855,199,0,7.4052515
0.016256455,61.514023,199,0,7.421508
0.015223794,65.686646,199,0,7.436732
0.016263576,61.48709,199,0,7.4529953
0.016242467,61.567,199,0,7.469238
0.01563542,63.957348,199,0,7.4848733
0.015632246,63.970333,199,0,7.5005054
0.016073143,62.21558,199,0,7.5165787
0.015607375,64.07227,199,0,7.532186
0.016790593,59.55716,199,0,7.5489764
0.015682787,63.764175,199,0,7.564659
0.015776994,63.383434,199,0,7.580436
0.015903955,62.87744,199,0,7.59634
0.01643583,60.842686,199,0,7.612776
0.016382098,61.04224,199,0,7.629158
0.015553859,64.292725,199,0,7.644712
0.016693441,59.903763,199,0,7.6614056
0.015078046,66.321594,199,0,7.6764836
0.016019445,62.42414,199,0,7.692503
0.016204476,61.71134,199,0,7.7087073
0.016339757,61.20042,199,0,7.725047
0.015882567,62.962116,199,0,7.7409296
0.016515652,60.548626,199,0,7.7574453
0.015861208,63.046906,199,0,7.7733064
0.01605544,62.28418,199,0,7.789362
0.015583954,64.168564,199,0,7.804946
0.01595736,62.667007,199,0,7.8209033
0.01650845,60.57504,199,0,7.837412
0.015405145,64.913376,199,0,7.852817
0.016299156,61.35287,199,0,7.8691163
0.015443563,64.7519,199,0,7.8845596
0.016702948,59.869667,199,0,7.9012628
0.015670946,63.81236,199,0,7.9169335
0.015756732,63.46494,199,0,7.93269
0.015786003,63.34726,199,0,7.9484763
0.01575554,63.46974,199,0,7.964232
0.015859976,63.051796,199,0,7.980092
0.01684128,59.37791,199,0,7.9969335
0.016861143,59.30796,199,0,8.013795
0.016922884,59.091583,199,0,8.030718
0.016794221,59.544292,199,0,8.047512
0.015942939,62.723698,199,0,8.063455
0.015728606,63.578426,199,0,8.079184
0.015406265,64.90866,199,0,8.09459
0.016590131,60.276794,199,0,8.11118
0.015310118,65.316284,199,0,8.126491
0.015953867,62.68073,199,0,8.142445
0.0162264,61.627968,199,0,8.158671
0.01636774,61.09579,199,0,8.175039
0.01660392,60.22674,199,0,8.191643
0.016030414,62.38142,199,0,8.207673
0.015720038,63.61308,199,0,8.223393
0.016020492,62.420055,199,0,8.239414
0.015803441,63.27736,199,0,8.255218
0.015806636,63.264572,199,0,8.271024
0.016095528,62.12906,199,0,8.287119
0.015740024,63.532303,199,0,8.302859
0.017990759,55.58409,199,0,8.32085
0.017893547,55.886066,199,0,8.338744
0.018350614,54.49409,199,0,8.357095
0.01751344,57.099003,199,0,8.374608
0.015603131,64.0897,199,0,8.390211
0.016299305,61.352306,199,0,8.40651
0.016060028,62.266388,199,0,8.42257
0.015677165,63.787045,199,0,8.438248
0.01582966,63.17255,199,0,8.454078
0.0161001,62.111416,199,0,8.470178
0.016261498,61.49495,199,0,8.486439
0.016987933,58.865314,199,0,8.503427
0.01675225,59.69347,199,0,8.520179
0.015767237,63.42265,199,0,8.535946
0.016132114,61.988155,199,0,8.552078
0.01598857,62.544685,199,0,8.568067
0.016079808,62.1898,199,0,8.5841465
0.016207764,61.698826,199,0,8.600354
0.015965784,62.63394,199,0,8.61632
0.01594929,62.698715,199,0,8.632269
0.016095938,62.127472,199,0,8.648365
0.016064638,62.248524,199,0,8.66443
0.01620522,61.70851,199,0,8.6806345
0.016131341,61.991123,199,0,8.696766
0.016165761,61.859135,199,0,8.712932
0.016122758,62.024124,199,0,8.729054
0.016103707,62.0975,199,0,8.745158
0.016191885,61.75933,199,0,8.76135
0.01527871,65.450554,199,0,8.7766285
0.016439041,60.8308,199,0,8.793068
0.015322238,65.26462,199,0,8.808391
0.016531466,60.490704,199,0,8.824922
0.014828425,67.43805,199,0,8.83975
0.01547381,64.62533,199,0,8.855224
0.015704438,63.67626,199,0,8.870928
0.016391575,61.00695,199,0,8.88732
0.015871046,63.007816,199,0,8.903191
0.016260795,61.497604,199,0,8.919452
0.016434997,60.845768,199,0,8.935886
0.016039558,62.34586,199,0,8.951926
0.01569408,63.718292,199,0,8.96762
0.015992211,62.530437,199,0,8.983612
0.015983036,62.566338,199,0,8.999595
0.016116653,62.047626,199,0,9.015712
0.016031705,62.376396,199,0,9.031743
0.01591551,62.831795,199,0,9.047659
0.033230603,30.092743,199,0,9.08089
0.03547286,28.190565,199,0,9.116363
0.0350052,28.567184,199,0,9.151368
0.036999136,27.027658,199,0,9.188367
0.036038045,27.748453,199,0,9.224405
0.03597156,27.799738,199,0,9.260377
0.037380125,26.752184,199,0,9.297757
0.03266002,30.618477,199,0,9.330418
0.03555546,28.125076,199,0,9.365973
0.0362,27.62431,199,0,9.402173
0.037261367,26.837448,199,0,9.439434
0.035779756,27.948767,199,0,9.475214
0.034348477,29.113373,199,0,9.5095625
0.035948593,27.8175,199,0,9.545511
0.031734318,31.511627,199,0,9.577246
0.034844015,28.699333,199,0,9.61209
0.03267814,30.6015,199,0,9.644769
0.033065263,30.24322,199,0,9.677834
0.034805845,28.730806,199,0,9.71264
0.035120033,28.47378,199,0,9.74776
0.033998422,29.41313,199,0,9.781758
0.033285152,30.043427,199,0,9.815043
0.032994494,30.308088,199,0,9.848038
0.033079002,30.230658,199,0,9.881117
0.034152947,29.280048,199,0,9.91527
0.034300487,29.154106,199,0,9.949571
0.034840245,28.70244,199,0,9.984411
0.03505082,28.530003,199,0,10.019462
0.035707466,28.005348,199,0,10.055169
0.03519614,28.412207,199,0,10.090365
0.032260466,30.997692,199,0,10.122626
0.03279924,30.488512,199,0,10.155425
0.035281673,28.343328,199,0,10.190707
0.03510908,28.48266,199,0,10.225817
0.03482383,28.715965,199,0,10.26064
0.034957387,28.606258,199,0,10.295597
0.035585918,28.101002,199,0,10.331183
0.03831174,26.101662,199,0,10.369495
0.035715025,27.99942,199,0,10.4052105
0.036974926,27.045355,199,0,10.442185
0.034739982,28.785276,199,0,10.476926
0.03335616,29.97947,199,0,10.510282
0.033504914,29.846369,199,0,10.543786
0.03608392,27.713173,199,0,10.57987
0.036873035,27.120089,199,0,10.616743
0.041361246,24.17722,199,0,10.658104
0.033901878,29.496891,199,0,10.692006
0.0327871,30.499802,199,0,10.724793
0.033916447,29.484219,199,0,10.75871
0.034208886,29.23217,199,0,10.792919
0.034399886,29.069864,199,0,10.827319
0.0339745,29.433844,199,0,10.861294
0.033790015,29.594543,199,0,10.895083
0.032913856,30.38234,199,0,10.927998
0.03364123,29.72543,199,0,10.961638
0.033122543,30.190916,199,0,10.994761
0.032235973,31.021244,199,0,11.026998
0.034041155,29.376207,199,0,11.061039
0.034256626,29.191433,199,0,11.095296
0.033311293,30.019852,199,0,11.128607
0.035909496,27.847788,199,0,11.164516
0.03434301,29.118008,199,0,11.198859
0.040910207,24.443779,199,0,11.239769
0.034954015,28.609015,199,0,11.274723
0.03568139,28.025814,199,0,11.310405
0.03129691,31.952038,199,0,11.3417015
0.032365035,30.89754,199,0,11.374066
0.034279495,29.171957,199,0,11.408346
0.033936087,29.467155,199,0,11.442283
0.03525021,28.368626,199,0,11.477533
0.033384364,29.954142,199,0,11.510918
0.036056995,27.73387,199,0,11.546974
0.0356577,28.044434,199,0,11.582632
0.03375536,29.624926,199,0,11.616387
0.034814335,28.723799,199,0,11.651201
0.035420407,28.232313,199,0,11.686622
0.021400632,46.72759,199,0,11.708022
0.015583295,64.17128,199,0,11.723605
0.01614801,61.92713,199,0,11.739753
0.01598657,62.552505,199,0,11.755739
0.015452686,64.71367,199,0,11.771192
0.016582021,60.306274,199,0,11.787774
0.016563954,60.372063,199,0,11.804338
0.015429301,64.81175,199,0,11.819768
0.016657753,60.032104,199,0,11.836426
0.01579586,63.307728,199,0,11.8522215
0.015699062,63.69807,199,0,11.867921
0.015782638,63.360767,199,0,11.883703
0.016226424,61.627872,199,0,11.89993
0.015712993,63.641594,199,0,11.915643
0.016465709,60.73228,199,0,11.932109
0.016371388,61.082176,199,0,11.948481
0.016209716,61.691395,199,0,11.96469
0.01604424,62.32766,199,0,11.980735
0.015678385,63.782078,199,0,11.996413
0.016241778,61.56962,199,0,12.012655
0.01601656,62.43538,199,0,12.028672
0.01604475,62.325684,199,0,12.044717
0.016046805,62.317696,199,0,12.060763
0.015825573,63.188866,199,0,12.076589
0.0162424,61.567257,199,0,12.092831
0.015782002,63.363316,199,0,12.108613
0.015947172,62.70704,199,0,12.12456
0.016121032,62.03077,199,0,12.140681
0.016095182,62.130398,199,0,12.156776
0.015971502,62.61152,199,0,12.172748
0.015449451,64.72722,199,0,12.188197
0.015574021,64.209496,199,0,12.203772
0.016756775,59.677357,199,0,12.220529
0.016807297,59.497967,199,0,12.237336
0.015554697,64.28926,199,0,12.252891
0.01543333,64.79483,199,0,12.268324
0.016195994,61.743664,199,0,12.28452
0.0229854,43.505875,199,0,12.307506
0.015806124,63.266617,199,0,12.323312
0.016363231,61.112625,199,0,12.339675
0.015479794,64.60034,199,0,12.355155
0.016067801,62.23627,199,0,12.3712225
0.016136015,61.973175,199,0,12.387359
0.015764125,63.435173,199,0,12.403123
0.016168805,61.847492,199,0,12.4192915
0.016300362,61.348335,199,0,12.435592
0.016453905,60.775845,199,0,12.452045
0.016141549,61.951923,199,0,12.468187
0.016332267,61.22849,199,0,12.48452
0.015934963,62.75509,199,0,12.500455
0.015973778,62.602592,199,0,12.516429
0.015839294,63.13413,199,0,12.532269
0.015700543,63.692062,199,0,12.547969
0.016098307,62.118332,199,0,12.564067
0.015588548,64.14966,199,0,12.579656
0.015870724,63.0091,199,0,12.595527
0.015894769,62.913784,199,0,12.611422
0.016521119,60.528587,199,0,12.627943
0.052845757,18.922995,199,0,12.680789
0.038950436,25.673653,199,0,12.719739
0.036732145,27.22411,199,0,12.756471
0.036465578,27.423124,199,0,12.792936
0.033270147,30.056978,199,0,12.826206
0.032205097,31.050983,199,0,12.858411
0.033298153,30.031694,199,0,12.891709
0.033044677,30.262058,199,0,12.924754
0.04079509,24.512753,199,0,12.965549
0.038123336,26.230654,199,0,13.003673
0.03594602,27.819492,199,0,13.0396185
0.036008246,27.771416,199,0,13.075626
0.0379675,26.338316,199,0,13.113594
0.04093994,24.426025,199,0,13.154534
0.043967836,22.743898,199,0,13.198503
0.037248008,26.847075,199,0,13.23575
0.036365405,27.498663,199,0,13.272116
0.035444614,28.21303,199,0,13.30756
0.03676845,27.19723,199,0,13.344329
0.042013407,23.801928,199,0,13.386342
0.037326675,26.790493,199,0,13.423669
0.035715006,27.999435,199,0,13.459384
0.03729015,26.816734,199,0,13.496675
0.038388297,26.049606,199,0,13.535063
0.03518164,28.423916,199,0,13.570245
0.03514891,28.450382,199,0,13.605393
0.037093677,26.958773,199,0,13.642488
